RTF,Weighted Error
1.0,0.1292598543306467
1.0,0.07146961276019781
1.0,0.016699365025918553
1.0,1.0928591235806655
0.0,1.2569167437266677
1.0,8.215150617827371
1.0,9.792090957248933
0.0,3.0704875835514653
0.0,0.0078875958914868
1.0,5.806981215858743
1.0,9.136296178437311
0.0,5.200680005647152
0.0,6.305481248099244
1.0,7.184222963692472
1.0,0.13673567951746546
0.0,0.5428923943300292
1.0,9.063547107141819
1.0,1.85426883132442
1.0,3.957037466351369
0.0,4.255404054775454
0.0,0.21030440838273062
1.0,7.429652453933352
1.0,4.204306838881176
0.0,3.2107023795303653
0.0,0.6376096022098068
0.0,0.15503937415604574
1.0,1.513149581233345
0.0,0.8709775679203018
0.0,0.044434404968600565
1.0,1.0911007987859462
1.0,0.24727572416744414
0.0,1.7268587308678862
0.0,5.76580324427892
1.0,1.1801339357089387
1.0,3.107089303020995
1.0,0.06775620185594257
1.0,0.09363748159380837
1.0,0.025296532291437843
0.68,0.003975085770670456
1.0,1.422993754806268
1.0,0.7022956402291956
0.0,10.0619821161806
0.0,4.482851439039638
1.0,0.5754077061285517
0.41,0.00550570506047994
0.0,3.5133299480014655
0.0,0.22330936494464002
1.0,2.9885240470642924
0.78,0.0072734001178905855
0.0,1.8777819403802098
1.0,8.044575948832065
1.0,5.9412471169968954
0.54,0.00854392825346467
0.0,1.014145409733737
1.0,0.6439624835541012
0.0,7.95529811867886
0.38,0.0037067046551101943
0.36,0.004582637022140251
0.0,0.2155997536423728
0.0,2.468867432154832
0.0,6.144409510696828
0.0,3.4056911489875947
1.0,5.229219682064057
1.0,0.23664637828662177
1.0,0.11982205688444325
0.0,10.062080887743278
1.0,1.4765037098278933
0.0,0.5011231855158347
1.0,2.8902846419837713
0.0,2.131805282983532
0.0,3.9172333998958084
0.54,0.0059348263280029345
1.0,0.3643054860407842
0.0,3.094718239907842
1.0,3.373419758117851
0.0,0.037715612965425825
0.0,7.405462809142853
0.0,9.56162404732071
1.0,2.7554329847864816
1.0,0.005853825720129765
0.0,1.8668347092084658
1.0,8.033871547205086
0.55,0.0064462369927071935
1.0,3.962382264832217
1.0,0.06651369692373113
0.0,3.5235870014572632
1.0,0.648393338643408
0.0,3.0896012721123194
0.0,6.908118986626211
0.0,3.3808497415900494
0.0,2.466952991992149
1.0,7.313171416265951
0.0,1.0227667797792903
0.0,0.9814477139149272
1.0,1.1483821379944046
0.0,4.149586058522159
1.0,5.089479487866027
0.0,9.254390680131591
0.0,3.4052874358918075
0.0,0.018618203800674266
1.0,0.8735191488359947
1.0,1.3830600214211681
1.0,1.085415463284427
0.14,0.006149433348102795
1.0,0.7183933015288227
0.0,8.330089060174219
1.0,0.7676283243887574
1.0,2.786711353182279
0.0,3.876777059887404
1.0,2.756636136947144
0.0,6.357068041841398
0.0,2.9404815693404642
0.0,0.017860736485042886
1.0,1.835223697800803
1.0,0.5383379331650125
1.0,4.535786740957018
0.0,4.289072137658783
0.0,4.047519678488973
0.0,4.959513615272028
0.0,0.15422132494516375
1.0,9.217844603790063
0.0,7.694716877832019
0.0,0.7183006380696836
1.0,3.21761000168686
1.0,1.8302277994839242
0.0,6.466550455701015
0.0,0.15331734074320016
1.0,9.357377258158866
1.0,8.332470518606057
1.0,6.003721151732344
0.0,2.0905758074916276
1.0,0.02112350849523576
0.87,0.0059129532528928545
0.24,0.005422379756312002
1.0,0.2696787312863348
0.91,0.00929490492123753
