RTF,FT4,FT3,TSH
0.0,1.6920871821760953e-83,2.349784283501966,0.10132988783919805
0.001001001001001001,0.0008814184476313618,2.3485969355030063,0.09929740005897032
0.002002002002002002,0.0017608901971082988,2.3474145619056754,0.09675133148528872
0.003003003003003003,0.0026384730442750213,2.3462576973624496,0.0958644449804513
0.004004004004004004,0.003514445157165488,2.345181557973425,0.10375409604715931
0.005005005005005005,0.004388350474985678,2.3440450817775536,0.10332482863680179
0.006006006006006006,0.005260331751512139,2.3429069591638894,0.10124660609402354
0.007007007007007007,0.006130581593414267,2.341794358642878,0.10184324705264158
0.008008008008008008,0.006998944071686998,2.3406829501167774,0.10099366980735922
0.009009009009009009,0.007865438189905653,2.339574022987604,0.09948981656564636
0.01001001001001001,0.008730344336272986,2.338493857206739,0.10111643398035261
0.011011011011011011,0.009593074340011418,2.337386404920676,0.09772140507070733
0.012012012012012012,0.010454571709576043,2.336336574875461,0.10030826736614959
0.013013013013013013,0.01131363997348946,2.3352377395008586,0.09634577588072665
0.014014014014014014,0.012171090206635836,2.3341634298601304,0.09372725677651048
0.015015015015015015,0.013026977327740968,2.333109798079671,0.09289162660547938
0.016016016016016016,0.013881234930577335,2.3320694192079845,0.09289738985780649
0.017017017017017015,0.014733758126042069,2.331035463043608,0.09264542926061985
0.018018018018018018,0.015584564264113776,2.330008433509776,0.09221317706238386
0.01901901901901902,0.016434036744091583,2.329003896622507,0.09436947872954257
0.02002002002002002,0.01728192826287775,2.3280097789442817,0.09682358505617993
0.02102102102102102,0.01812760531650471,2.3269995175801506,0.0954732822075667
0.022022022022022022,0.018971666935257956,2.3259992133340104,0.09437401098808532
0.023023023023023025,0.01981394685334125,2.3250026113810653,0.09240882289791741
0.024024024024024024,0.020655259642928026,2.3240345988053903,0.09446644020157433
0.025025025025025023,0.021495578944509937,2.3230958374249813,0.0993213049386122
0.026026026026026026,0.02233206769804624,2.3220902149373717,0.0926115904039982
0.02702702702702703,0.02316893916855854,2.321152438911459,0.09624121834875707
0.028028028028028028,0.02400320424963611,2.3201936236209972,0.0944539100892132
0.029029029029029027,0.024836158484351764,2.3192494278583955,0.09398110397666717
0.03003003003003003,0.02566703412189934,2.3183016460702195,0.09093749801496157
0.031031031031031032,0.02649668754908497,2.3173692202082803,0.0895533236692311
0.03203203203203203,0.027325041951355745,2.3164485743195273,0.08935647112757829
0.03303303303303303,0.028152005578844858,2.3155371760487187,0.0897804089514042
0.03403403403403403,0.028977125262250596,2.3146275216034917,0.08864651524230817
0.035035035035035036,0.029800998787843296,2.3137288822277875,0.08870728596177702
0.036036036036036036,0.030622955559220837,2.3128316364712416,0.08685879699601276
0.037037037037037035,0.0314440601757512,2.311949390777123,0.08783393417058387
0.03803803803803804,0.03226195699665836,2.3110551212262456,0.08122411962886855
0.03903903903903904,0.033087997579463534,2.3102993856727734,0.1122937400869127
0.04004004004004004,0.03389927712528627,2.309350857325135,0.09303367521374895
0.04104104104104104,0.03471249699073133,2.308481095517218,0.08488768900193627
0.04204204204204204,0.03552610235666159,2.3076296936367107,0.08479323814028451
