height,weight,sex,lt4,lt3,RTF,FT4_mean,FT3_mean,TT3_mean,TSH_mean
150,50,male,25,5,0.0,45.13109976222582,15.779601964386812,0.7908762157299641,0.3433789394438799
150,50,male,25,5,0.3333333333333333,45.438467543274,15.781577618967576,0.7872099142072981,0.33962319566765475
150,50,male,25,5,0.6666666666666666,45.74248245848184,15.782470957860319,0.783571749010824,0.3418025575101237
150,50,male,25,5,1.0,46.04658386133123,15.783395717956102,0.7799744647073921,0.3444590834925081
150,50,male,25,6,0.0,45.13432870679644,17.77829734240119,0.8910063498575301,0.33819735934143647
150,50,male,25,6,0.3333333333333333,45.43781836479918,17.779312518854656,0.8868689895050459,0.34028781828981836
150,50,male,25,6,0.6666666666666666,45.74099791997155,17.780202768190133,0.8827757525091716,0.3426122168741237
150,50,male,25,6,1.0,46.04503092984915,17.781420619459606,0.8787325200493961,0.3453737326998999
150,50,male,25,7,0.0,45.13444816954224,19.77598507710931,0.9911239131038697,0.3381586724417015
150,50,male,25,7,0.3333333333333333,45.43749591118859,19.77721884631822,0.9865336303478304,0.34301501097139286
150,50,male,25,7,0.6666666666666666,45.73606378729386,19.77644801335663,0.9819625563642641,0.34412937468097476
150,50,male,25,7,1.0,46.039023253381,19.77754437932053,0.9774678325366675,0.3412139518691053
150,50,male,25,8,0.0,45.13556183870657,21.774218870207452,1.0912515701941992,0.3426447905863238
150,50,male,25,8,0.3333333333333333,45.43374455148819,21.773428828208324,1.086172282184002,0.3397326849175798
150,50,male,25,8,0.6666666666666666,45.73499310706582,21.774197429047447,1.0811748757283786,0.34298049590313745
150,50,male,25,8,1.0,46.03670101119525,21.77512314143272,1.0762325853097858,0.34103647561996425
150,50,male,25,9,0.0,45.13531076323369,23.77173342703486,1.191365036787,0.34214326846272664
150,50,male,25,9,0.3333333333333333,45.43298051269573,23.770965016696962,1.1858338419742411,0.3394244390483675
150,50,male,25,9,0.6666666666666666,45.733420334101794,23.771727895388484,1.1803887029586506,0.34281912277212645
150,50,male,25,9,1.0,46.03678826080986,23.773938186889612,1.175022195866577,0.3407766461637902
150,50,male,30,5,0.0,55.10688496906537,15.801720832851833,0.6879918089162064,0.36262684292381175
150,50,male,30,5,0.3333333333333333,55.4138551352425,15.803236960977697,0.6853616953380439,0.3603101309510614
150,50,male,30,5,0.6666666666666666,55.71358114232235,15.802778566775698,0.6827335155489013,0.36359366345896604
150,50,male,30,5,1.0,56.017222703510015,15.80337837184083,0.6801409067911824,0.36233673139870604
150,50,male,30,6,0.0,55.10669187287276,17.799577855894537,0.7749785180502822,0.3627851435243889
150,50,male,30,6,0.3333333333333333,55.41318953798578,17.801289011124254,0.7720206519078281,0.3601407785593044
150,50,male,30,6,0.6666666666666666,55.71219547215167,17.800690999112227,0.7690636224438553,0.3636190114161096
150,50,male,30,6,1.0,56.01529324864505,17.801348322058924,0.7661475834227336,0.3625131701845874
150,50,male,30,7,0.0,55.10605504298949,19.797253088427407,0.8619626477006581,0.3631359587526196
150,50,male,30,7,0.3333333333333333,55.412534798790055,19.799334914625113,0.8586806952239836,0.36002013444112485
